neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Muduuma,21303.486609876156,21990.995061695576,22567.215239465237,23111.207245379686,23647.87478750944,24277.72759670019,24886.72732514143,25624.265702217817,26269.27781572938,26897.231740653515,27512.313507169485,28181.375701338053,28904.084781318903,29803.480933636427,30623.95046019554,31415.01970809698,32193.460802435875,33019.44651710987,33900.658679664135,34734.36146068573,35656.37788116932
Nabbaale,26047.158919870853,27301.271040320396,28002.49529606104,28919.541609108448,29591.80148369074,30453.29653120041,31458.756022572517,31987.283412218094,32979.5924500227,33849.82088333368,34811.888998150826,35796.77263653278,36779.55702805519,37778.78173112869,38842.9601162076,40009.53131073713,41086.812645852566,42279.12909466028,43490.53883469105,44705.154056727886,46023.312721312046
Nabweru Division,43235.98862862587,46114.282589673996,49184.26138007641,52746.93805766106,56257.93813228607,60072.26606166363,64089.43663704395,68850.64128088951,73217.91792368889,78250.9016494751,83558.56125712395,89092.30046701431,95276.6481385231,101522.8930106163,108339.24912881851,115625.35181736946,123225.84940361977,131644.64700484276,140399.09619998932,149740.68893003464,160054.96552085876
Nagojje,23894.108620598912,24660.262349382043,25292.047925263643,26137.934164375067,26794.75989302993,27577.49925981462,28407.580920532346,29109.6960734725,30013.448492988944,30860.672065138817,31769.784568712115,32647.017923370004,33674.64411436021,34563.315596312284,35590.66631940007,36658.6162712276,37794.441960603,38860.062730014324,39973.52182587981,41150.598303586245,42342.42777970433
Najjembe Division,25864.51778499782,26538.762210696936,27053.691347792745,27503.867324396968,28109.08504165709,28628.49070097506,29293.748858720064,29882.572075024247,30506.808793351054,31105.513469427824,31883.904095605016,32401.776485145092,33011.02119034529,33795.01880028844,34436.50427976251,35062.96627295017,35946.295196682215,36728.24071288109,37539.93671748042,38269.44261968136,39065.98855561018
Nakawa Division,243357.72447824478,247986.27436089516,252929.9000606537,257935.5590133667,263247.66449546814,268980.04888677597,274629.1912651062,279905.51924180984,285525.7773947716,291159.9834923744,296756.82962942123,303086.46739816666,308754.069375515,315069.0572795868,322009.02799510956,328433.8647670746,334940.89364767075,342190.8399400711,349538.1371912956,356313.32587242126,364159.22273111343
Nakisunga,32412.115548938513,33383.68235450983,34321.73425215483,35178.940865933895,36246.83851221204,37228.31651726365,38358.95064625144,39321.07733017206,40495.0615773201,41699.126416265965,42925.63806325197,44228.93078881502,45423.18719494343,46837.141443669796,48368.4684125185,49845.83201378584,51253.127004146576,52722.36174148321,54246.88262206316,55855.7771538496,57447.421952188015
Nama,36944.85795903206,38104.17707669735,39336.98750662804,40474.77965837717,41885.72860240936,43231.15292841196,44491.20209491253,45770.897096931934,47025.91395902634,48397.6173902154,49884.966575324535,51352.73228532076,52818.14579838514,54555.44031649828,56054.00064265728,57558.71085566282,59238.78709304333,61010.59024429321,62845.04332125187,64686.09131217003,66553.7772988081
Namayumba,6953.804058909416,7660.75981849432,8159.04505237937,8729.004438102245,9293.076653212309,9897.633762985468,10572.143729269505,11286.50428789854,12015.582158088684,12819.773631930351,13688.42831915617,14602.962783813477,15563.620978295803,16684.446209788322,17837.62043374777,19043.135050833225,20328.864461541176,21691.19335258007,23140.968656420708,24716.429578900337,26401.217990875244
Namayumba Town Council,6639.544463574886,7111.439895540476,7542.152773171663,8031.250278800726,8560.61591771245,9093.911161631346,9652.31376439333,10271.453803658485,10965.151032626629,11634.046253144741,12379.307311713696,13176.163596212864,14038.203932285309,14968.028371989727,15973.023617684841,17072.989016890526,18138.25303429365,19344.071393549442,20621.465046942234,21965.740713477135,23410.1082020998
